Last,First,Address,DC Phone,Contact Site
MURKOWSKI,SEN. Lisa (R-AK),SH-522,202-224-6665,https://www.murkowski.senate.gov/contact/office-locations
MURPHY,SEN. Christopher (D-CT),SH-136,202-224-4041,https://www.murphy.senate.gov/office-locations
MURRAY,SEN. Patty (D-WA),SR-154,202-224-2621,https://www.murray.senate.gov/public/index.cfm/contactme
NELSON,SEN. Bill (D-FL),SH-716,202-224-5274,https://www.billnelson.senate.gov/contact-bill/offices
PAUL,SEN. Rand (R-KY),SR-167,202-224-4343,https://www.paul.senate.gov/connect/office-locations
PERDUE,SEN. David (R-GA),SR-383,202-224-3521,http://www.perdue.senate.gov/connect/serving-you
PETERS,SEN. Gary C. (D-MI),SH-724,202-224-6221,http://www.peters.senate.gov
PORTMAN,SEN. Rob (R-OH),SR-448,202-224-3353,http://www.portman.senate.gov/public/index.cfm/office-locations
REED,SEN. Jack (D-RI),SH-728,202-224-4642,https://www.reed.senate.gov/contact/assistance
RISCH,SEN. James E. (R-ID),SR-483,202-224-2752,http://www.risch.senate.gov/public/index.cfm/myoffices
ROBERTS,SEN. Pat (R-KS),SH-109,202-224-4774,http://www.roberts.senate.gov/public/index.cfm?p=OfficeLocations
ROUNDS,SEN. Mike (R-SD),SH-502,202-224-5842,http://www.rounds.senate.gov/contact/office-locations
RUBIO,SEN. Marco (R-FL),SR-284,202-224-3041,http://www.rubio.senate.gov/public/
SANDERS,SEN. Bernard (I-VT),SD-332,202-224-5141,http://www.sanders.senate.gov/contact
SASSE,SEN. Ben (R-NE),SR-386A,202-224-4224,http://www.sasse.senate.gov/public/index.cfm/office-locations
SCHATZ,SEN. Brian (D-HI),SH-722,202-224-3934,http://www.schatz.senate.gov/office-locations
SCHUMER,SEN. Charles E. (D-NY),SH-322,202-224-6542,https://www.schumer.senate.gov/contact/office-locations
SCOTT,SEN. Tim (R-SC),SH-520,202-224-6121,https://www.scott.senate.gov/
SESSIONS,SEN. Jeff (R-AL),SR-326,202-224-4124,http://www.sessions.senate.gov/public/index.cfm/office-locations
SHAHEEN,SEN. Jeanne (D-NH),SH-506,202-224-2841,https://www.shaheen.senate.gov/services/office-locations
SHELBY,SEN. Richard C. (R-AL),SR-304,202-224-5744,http://www.shelby.senate.gov/public/index.cfm/offices
STABENOW,SEN. Debbie (D-MI),SH-731,202-224-4822,http://www.stabenow.senate.gov/
SULLIVAN,SEN. Dan (R-AK),SH-702,202-224-3004,http://www.sullivan.senate.gov/contact/locations
TESTER,SEN. Jon (D-MT),SH-311,202-224-2644,https://www.tester.senate.gov/?p=offices
THUNE,SEN. John (R-SD),SD-511,202-224-2321,http://www.thune.senate.gov/public/index.cfm/contact-me-in-south-dakota
TILLIS,SEN. Thom (R-NC),SD-185,202-224-6342,https://www.tillis.senate.gov/public/index.cfm/office-locations
TOOMEY,SEN. Patrick J. (R-PA),SR-248,202-224-4254,http://www.toomey.senate.gov/?p=offices
UDALL,SEN. Tom (D-NM),SH-531,202-224-6621,https://www.tomudall.senate.gov/?p=contact
VAN HOLLEN,SEN. Chris (D-MD),SD-B40C,202-224-4654,http://www.vanhollen.senate.gov
WARNER,SEN. Mark R. (D-VA),SR-475,202-224-2023,http://www.warner.senate.gov/public/index.cfm/officeinformation
WARREN,SEN. Elizabeth (D-MA),SH-317,202-224-4543,https://www.warren.senate.gov/index.cfm?p=email_senator
WHITEHOUSE,SEN. Sheldon (D-RI),SH-530,202-224-2921,https://www.whitehouse.senate.gov/contact/email-sheldon
WICKER,SEN. Roger F. (R-MS),SD-555,202-224-6253,http://www.wicker.senate.gov/public/index.cfm/office-locations
WYDEN,SEN. Ron (D-OR),SD-221,202-224-5244,https://www.wyden.senate.gov/contact
YOUNG,SEN. Todd (R-IN),SR-B33,202-224-5623,https://www.young.senate.gov/content/contact-senator
