"","Last","First","Address","DC.Phone","Contact.Site","Local.PhoneV2","Local.PhoneV3","Local.PhoneV4","Local.PhoneV5","Local.PhoneV6","Local.PhoneV7","Local.PhoneV8","Local.PhoneV9","Local.PhoneV10","Local.PhoneV11","Local.PhoneV12"
"17","COCHRAN","SEN. Thad  (R-MS)","SD-113","202-224-5054","http://www.cochran.senate.gov/public/index.cfm/offices","6019654459","6622361018","2288679710",NA,NA,NA,NA,NA,NA,NA,NA
"18","COLLINS","SEN. Susan M.  (R-ME)","SD-413","202-224-2523","https://www.collins.senate.gov/contact","2076228414","2079450417","2072831101","2074937873","2077846969","2077803575",NA,NA,NA,NA,NA
"19","COONS","SEN. Christopher A.  (D-DE)","SR-127A","202-224-5042","https://www.coons.senate.gov/contact","3025736345","3027365601","8776683368",NA,NA,NA,NA,NA,NA,NA,NA
"20","CORKER","SEN. Bob  (R-TN)","SD-425","202-224-3344","https://www.corker.senate.gov/public/index.cfm/officelocations","9016831910","6152798125","8656374180","7316642294","4237532263","4237562757",NA,NA,NA,NA,NA
"21","CORNYN","SEN. John  (R-TX)","SH-517","202-224-2934","https://www.cornyn.senate.gov/contact","7135723337","9564230162","8064727533","2102247485","5124696034","9035930902","9722391310",NA,NA,NA,NA
"22","CORTEZ MASTO","SEN. Catherine  (D-NV)","SD-B40A","202-224-3542","https://www.cortezmasto.senate.gov/content/contact-senator","7023885020","7756865750",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","COTTON","SEN. Tom  (R-AR)","SR-124","202-224-2353","https://www.cotton.senate.gov/?p=contact","2212360912","4797510879","8709336223","5012239081","8708648582",NA,NA,NA,NA,NA,NA
"24","CRAPO","SEN. Mike  (R-ID)","SD-239","202-224-6142","http://www.crapo.senate.gov/contact/office_locations.cfm","2085229779","2083341776","2087431492","2087342515","2082366775","2086645490",NA,NA,NA,NA,NA
"25","CRUZ","SEN. Ted  (R-TX)","SR-404","202-224-5922","https://www.cruz.senate.gov/?p=general&id=23","5129165834","2145998749","7137183057","2103402885","9035935130","9566867339",NA,NA,NA,NA,NA
"26","DAINES","SEN. Steve  (R-MT)","SH-320","202-224-2651","https://www.daines.senate.gov/","1258571677","4062456822","4064530148","4064433189","4065873446","4065498198","4062573765","4064829010","4066654126","1437053117",NA
"27","DONNELLY","SEN. Joe  (D-IN)","SH-720","202-224-4814","http://www.donnelly.senate.gov/contact/office-locations","8124255813","2604204955","2198520089","3172265555","5742882780","1781273989","1367836353",NA,NA,NA,NA
"28","DUCKWORTH","SEN. Tammy  (D-IL)","SD-G12","202-224-2854","https://www.duckworth.senate.gov/","3128863506",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","DURBIN","SEN. Richard J.  (D-IL)","SH-711","202-224-2152","http://www.durbin.senate.gov/contact/","3123534952","3123530150","2174924062","2174924382","6183511122","6183511124","3097865173","3097865404",NA,NA,NA
"30","ENZI","SEN. Michael B.  (R-WY)","SR-379A","202-224-3424","http://www.enzi.senate.gov/public/index.cfm/office-locations","8882501879","3072616572","3077722477","3075279444","3076826268","3077399507",NA,NA,NA,NA,NA
"31","ERNST","SEN. Joni  (R-IA)","SR-111","202-224-3254","http://www.ernst.senate.gov/public/index.cfm/office-locations","5152844574","5633220677","3193654504","7122521550","7123521167",NA,NA,NA,NA,NA,NA
"32","FEINSTEIN","SEN. Dianne  (D-CA)","SH-331","202-224-3841","http://www.feinstein.senate.gov/public/index.cfm/state-offices?","4153930707","3109147300","6192319712","5594857430",NA,NA,NA,NA,NA,NA,NA
"33","FISCHER","SEN. Deb  (R-NE)","SR-454","202-224-6551","http://www.fischer.senate.gov/public/index.cfm/contact","4024414600","4023913411","3082342361","3086302329",NA,NA,NA,NA,NA,NA,NA
"34","FLAKE","SEN. Jeff  (R-AZ)","SR-413","202-224-4521","http://www.flake.senate.gov/public/index.cfm/office-locations","6028401891","5205758633",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","FRANKEN","SEN. Al  (D-MN)","SH-309","202-224-5641","https://www.franken.senate.gov/","2212360912","2187222390","2182848721","5072882003","6512211016",NA,NA,NA,NA,NA,NA
"36","GARDNER","SEN. Cory  (R-CO)","SR-354","202-224-5941","https://www.gardner.senate.gov/contact-cory/office-locations","7195431324","7196326706","3033915777","9702459553","9703525546","9704843502","9708483095","9704157416",NA,NA,NA
"37","GILLIBRAND","SEN. Kirsten E.  (D-NY)","SR-478","202-224-4451","https://www.gillibrand.senate.gov/contact/","5184310120","7168549725","6312492825","5852636250","3154480470","2126886262","8458754585",NA,NA,NA,NA
"38","GRAHAM","SEN. Lindsey  (R-SC)","SR-290","202-224-5972","http://www.lgraham.senate.gov/public/index.cfm/office-locations","8642501417","8039330112","8436691505","8438493887","8033662828","8646464090",NA,NA,NA,NA,NA
"39","GRASSLEY","SEN. Chuck  (R-IA)","SH-135","202-224-3744","http://www.grassley.senate.gov/explore/regional-offices","3193636832","7123227103","5633224331","5152881145","7122331860","3192326657",NA,NA,NA,NA,NA
"40","HARRIS","SEN. Kamala D.  (D-CA)","SD-B40B","202-224-3553","https://www.harris.senate.gov/content/contact-senator","9164482787","2138945000","6192393884",NA,NA,NA,NA,NA,NA,NA,NA
"41","HASSAN","SEN. Maggie  (D-NH)","SR-B85","202-224-3324","https://www.hassan.senate.gov/content/contact-senator","6036222204",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","HATCH","SEN. Orrin G.  (R-UT)","SH-104","202-224-5251","http://www.hatch.senate.gov/public/index.cfm/district-offices","4355868435","8016255672","8013757881","8015244380","4356341795",NA,NA,NA,NA,NA,NA
"43","HEINRICH","SEN. Martin  (D-NM)","SH-303","202-224-5521","http://www.heinrich.senate.gov/contact/office-locations","5053466601","5053255030","5755236561","5756227113","5059886647","1781273989","1376425865",NA,NA,NA,NA
"44","HEITKAMP","SEN. Heidi  (D-ND)","SH-110","202-224-2043","http://www.heitkamp.senate.gov/public/index.cfm/contact","8002234457","7012328030","7012584648","7012250974","7017759601","7018520703",NA,NA,NA,NA,NA
"45","HELLER","SEN. Dean  (R-NV)","SH-324","202-224-6244","http://www.heller.senate.gov/public/","7757382001","7757382002","7023886605","7756865770",NA,NA,NA,NA,NA,NA,NA
"46","HIRONO","SEN. Mazie K.  (D-HI)","SH-330","202-224-6361","https://www.hirono.senate.gov/contact","1781273989","8085228970","4881894040","1372668362",NA,NA,NA,NA,NA,NA,NA
"47","HOEVEN","SEN. John  (R-ND)","SR-338","202-224-2551","https://www.hoeven.senate.gov/contact/office-locations","7012504618","7012395389","7017468972","7018381361","7015804535",NA,NA,NA,NA,NA,NA
"48","INHOFE","SEN. James M.  (R-OK)","SR-205","202-224-4721","https://www.inhofe.senate.gov/contact","1781273989","9187485111","4056084381","9184260933","5802345105","1365383921",NA,NA,NA,NA,NA
"49","ISAKSON","SEN. Johnny  (R-GA)","SR-131","202-224-3643","http://www.isakson.senate.gov/public/","7706610999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","JOHNSON","SEN. Ron  (R-WI)","SH-328","202-224-5323","http://www.ronjohnson.senate.gov/public/","4142767282","9202307250",NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","KAINE","SEN. Tim  (D-VA)","SR-231","202-224-4024","http://www.kaine.senate.gov/?","4347920976","2765254790","8047712221","7575181674","5406825693","7033613192","1368690851",NA,NA,NA,NA
"52","KENNEDY","SEN. John  (R-LA)","SR-B11","202-224-4623","https://www.kennedy.senate.gov/content/contact-senator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","KING","SEN. Angus S.  (I-ME)","SH-133","202-224-5344","https://www.king.senate.gov/contact","8549886081","9871799690","2076228292","2079458000","2077645124","2078831588","8004321599","1469444469","1369851962",NA,NA
"54","KLOBUCHAR","SEN. Amy  (D-MN)","SH-302","202-224-3244","http://www.klobuchar.senate.gov/public/","6127275220","2187419690","2182872219","5072885321",NA,NA,NA,NA,NA,NA,NA
"55","LANKFORD","SEN. James  (R-OK)","SH-316","202-224-5754","https://www.lankford.senate.gov/contact/locations","4052314941","9185817651",NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","LEAHY","SEN. Patrick J.  (D-VT)","SR-437","202-224-4242","https://www.leahy.senate.gov/contact","8028632525","8006423193","8022290569",NA,NA,NA,NA,NA,NA,NA,NA
"57","LEE","SEN. Mike  (R-UT)","SR-361A","202-224-5444","https://www.lee.senate.gov/public/index.cfm/contact","4356285514","8013929633","8015245933",NA,NA,NA,NA,NA,NA,NA,NA
"58","MANCHIN III","SEN. Joe  (D-WV)","SH-306","202-224-3954","http://www.manchin.senate.gov/public/index.cfm/contact","3043425855","8552755737","3042644626","3043680567",NA,NA,NA,NA,NA,NA,NA
"59","MARKEY","SEN. Edward J.  (D-MA)","SD-255","202-224-2742","https://www.markey.senate.gov/contact","6175658519","5086770523","4137854610","1389866099",NA,NA,NA,NA,NA,NA,NA
"60","McCAIN","SEN. John  (R-AZ)","SR-218","202-224-2235","http://www.mccain.senate.gov/public/index.cfm/office-locations","6029522410","9284450833","5206706334",NA,NA,NA,NA,NA,NA,NA,NA
"61","McCASKILL","SEN. Claire  (D-MO)","SH-503","202-224-6154","https://www.mccaskill.senate.gov/contact","5736510964","5734427130","8164211639","4178688745","3143671364",NA,NA,NA,NA,NA,NA
"62","McCONNELL","SEN. Mitch  (R-KY)","SR-317","202-224-2541","http://www.mcconnell.senate.gov/public/index.cfm/officelocations","5025826304","8592248286","8595780188","6068642026","2707811673","2704424554",NA,NA,NA,NA,NA
"63","MENENDEZ","SEN. Robert  (D-NJ)","SH-528","202-224-4744","https://www.menendez.senate.gov/contact","9736453030","9736450502","8567575353","8565461526","4862146075","1421196046",NA,NA,NA,NA,NA
"64","MERKLEY","SEN. Jeff  (D-OR)","SH-313","202-224-3753","https://www.merkley.senate.gov/connect/office-locations","5033263386","5413181298","5414656750","5416089102","5412781129","5033628102","1781273989","3574748163","1409737851",NA,NA
"65","MORAN","SEN. Jerry  (R-KS)","SD-521","202-224-6521","http://www.moran.senate.gov/public/index.cfm/connect","7856286401","7855398973","6202322286","3166311410","9133930711",NA,NA,NA,NA,NA,NA
"66","MURKOWSKI","SEN. Lisa  (R-AK)","SH-522","202-224-6665","https://www.murkowski.senate.gov/contact/office-locations","9072713735","9074560233","9075867277","9073767665","9072835808","9072256880",NA,NA,NA,NA,NA
"67","MURPHY","SEN. Christopher  (D-CT)","SH-136","202-224-4041","https://www.murphy.senate.gov/office-locations","8605498463","1781273989","1382954170",NA,NA,NA,NA,NA,NA,NA,NA
"68","MURRAY","SEN. Patty  (D-WA)","SR-154","202-224-2621","https://www.murray.senate.gov/public/index.cfm/contactme","8664819186","4252596515","3606967797","5094537462","2065535545","5096249515","2535723636",NA,NA,NA,NA
"69","NELSON","SEN. Bill  (D-FL)","SH-716","202-224-5274","https://www.billnelson.senate.gov/contact-bill/offices","9546934851","2393347760","9043464500","3055365999","4078727161","8886714091","8509428415","8132257040","5615140189",NA,NA
"70","PAUL","SEN. Rand  (R-KY)","SR-167","202-224-4343","https://www.paul.senate.gov/connect/office-locations","2707828303","8594260165","5025825341","2706899085","2708851212","8592192239",NA,NA,NA,NA,NA
"71","PERDUE","SEN. David  (R-GA)","SR-383","202-224-3521","http://www.perdue.senate.gov/connect/serving-you","4047827492","4048072510","4042913792","4705539688","4042911128","4048077138","4047826988","4047828020","4047828083","4048650087",NA
"72","PETERS","SEN. Gary C.  (D-MI)","SH-724","202-224-6221","http://www.peters.senate.gov","1640246681","3132266020","5173771508","6162339150","2486088040","9897540112","2319477773","9062264554",NA,NA,NA
"73","PORTMAN","SEN. Rob  (R-OH)","SR-448","202-224-3353","http://www.portman.senate.gov/public/index.cfm/office-locations","6144696774","8002056446","5136843265","2165227095","4192593895",NA,NA,NA,NA,NA,NA
"74","REED","SEN. Jack  (D-RI)","SH-728","202-224-4642","https://www.reed.senate.gov/contact/assistance","4019433100","4015285200","8007455555","4662932331","1404894480",NA,NA,NA,NA,NA,NA
"75","RISCH","SEN. James E.  (R-ID)","SR-483","202-224-2752","http://www.risch.senate.gov/public/index.cfm/myoffices","2083427985","2086676130","2085235541","2087430792","2082366817","2087346780",NA,NA,NA,NA,NA
"76","ROBERTS","SEN. Pat  (R-KS)","SH-109","202-224-4774","http://www.roberts.senate.gov/public/index.cfm?p=OfficeLocations","9134519343","6202272244","7852952745","3162630416",NA,NA,NA,NA,NA,NA,NA
"77","ROUNDS","SEN. Mike  (R-SD)","SH-502","202-224-5842","http://www.rounds.senate.gov/contact/office-locations","8448755268","6052241450","6053435035","6053360486","6052250366",NA,NA,NA,NA,NA,NA
"78","RUBIO","SEN. Marco  (R-FL)","SR-284","202-224-3041","http://www.rubio.senate.gov/public/","9043988586","3054188553","4072542573","8666307106","5617753360","8504332603","8505999100","8132875035",NA,NA,NA
"79","SANDERS","SEN. Bernard  (I-VT)","SD-332","202-224-5141","http://www.sanders.senate.gov/contact","8028620697","1781273989","8003399834","1378979911",NA,NA,NA,NA,NA,NA,NA
"80","SASSE","SEN. Ben  (R-NE)","SR-386A","202-224-4224","http://www.sasse.senate.gov/public/index.cfm/office-locations","4024761400","3082333677","4025508040","3086326032",NA,NA,NA,NA,NA,NA,NA
"81","SCHATZ","SEN. Brian  (D-HI)","SH-722","202-224-3934","http://www.schatz.senate.gov/office-locations","8085232061","1781273989","1385465277",NA,NA,NA,NA,NA,NA,NA,NA
"82","SCHUMER","SEN. Charles E.  (D-NY)","SH-322","202-224-6542","https://www.schumer.senate.gov/contact/office-locations","5184314070","6317530978","5852635866","6077726792","2124864430","2124867803","3154235471","7168464111","9147341532",NA,NA
"83","SCOTT","SEN. Tim  (R-SC)","SH-520","202-224-6121","https://www.scott.senate.gov/","8554256324","8037716112","8642335366","8437274525",NA,NA,NA,NA,NA,NA,NA
"84","SESSIONS","SEN. Jeff  (R-AL)","SR-326","202-224-4124","http://www.sessions.senate.gov/public/index.cfm/office-locations","2057311500","2565330979","2514143083","3342300698","3347924924",NA,NA,NA,NA,NA,NA
"85","SHAHEEN","SEN. Jeanne  (D-NH)","SH-506","202-224-2841","https://www.shaheen.senate.gov/services/office-locations","6036477500","6035424872","6037503004","6033586604","6037526300","6038830196",NA,NA,NA,NA,NA
"86","SHELBY","SEN. Richard C.  (R-AL)","SR-304","202-224-5744","http://www.shelby.senate.gov/public/index.cfm/offices","2057311384","2567720460","2516944164","3342237303","2057595047",NA,NA,NA,NA,NA,NA
"87","STABENOW","SEN. Debbie  (D-MI)","SH-731","202-224-4822","http://www.stabenow.senate.gov/","9062288756","2319291031","6169750052","5172031760","3139614330","8107204172","5985474040",NA,NA,NA,NA
"88","SULLIVAN","SEN. Dan  (R-AK)","SH-702","202-224-3004","http://www.sullivan.senate.gov/contact/locations","9072715915","9074560261","9075867277","9073579956","9072834000","9072256880",NA,NA,NA,NA,NA
"89","TESTER","SEN. Jon  (D-MT)","SH-311","202-224-2644","https://www.tester.senate.gov/?p=offices","4062520550","4065864450","4067233277","4063652391","4064529585","4064495401","4062573360","4067283003",NA,NA,NA
"90","THUNE","SEN. John  (R-SD)","SD-511","202-224-2321","http://www.thune.senate.gov/public/index.cfm/contact-me-in-south-dakota","6053487551","6052258823","6053349596",NA,NA,NA,NA,NA,NA,NA,NA
"91","TILLIS","SEN. Thom  (R-NC)","SD-185","202-224-6342","https://www.tillis.senate.gov/public/index.cfm/office-locations","7045099087","2523290371","8286938750","3368850685","9198564630",NA,NA,NA,NA,NA,NA
"92","TOOMEY","SEN. Patrick J.  (R-PA)","SR-248","202-224-4254","http://www.toomey.senate.gov/?p=offices","6104341444","8555521831","8144533010","7177823951","2152411090","4128033501","5709413540","8142665970",NA,NA,NA
"93","UDALL","SEN. Tom  (D-NM)","SH-531","202-224-6621","https://www.tomudall.senate.gov/?p=contact","5053466791","5752340366","5753566811","5755265475","5059886511",NA,NA,NA,NA,NA,NA
"94","VAN HOLLEN","SEN. Chris  (D-MD)","SD-B40C","202-224-4654","http://www.vanhollen.senate.gov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","WARNER","SEN. Mark R.  (D-VA)","SR-475","202-224-2023","http://www.warner.senate.gov/public/index.cfm/officeinformation","2766288158","7574413079","8047752314","7034420670","5408572676",NA,NA,NA,NA,NA,NA
"96","WARREN","SEN. Elizabeth  (D-MA)","SH-317","202-224-4543","https://www.warren.senate.gov/index.cfm?p=email_senator","4343910111","6175653170","4137882690",NA,NA,NA,NA,NA,NA,NA,NA
"97","WHITEHOUSE","SEN. Sheldon  (D-RI)","SH-530","202-224-2921","https://www.whitehouse.senate.gov/contact/email-sheldon","4014535294",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","WICKER","SEN. Roger F.  (R-MS)","SD-555","202-224-6253","http://www.wicker.senate.gov/public/index.cfm/office-locations","6019654644","2288717017","6628445010","6624291002",NA,NA,NA,NA,NA,NA,NA
"99","WYDEN","SEN. Ron  (D-OR)","SD-221","202-224-5244","https://www.wyden.senate.gov/contact","5033267525","5035894555","5414310229","5418585122","5413309142","5419627691",NA,NA,NA,NA,NA
"100","YOUNG","SEN. Todd  (R-IN)","SR-B33","202-224-5623","https://www.young.senate.gov/content/contact-senator","3172266700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
